date,PM10,PM2.5,PM1
5/23/2019 7:47:19 PM,71.6,18.7,13.6
5/23/2019 7:47:25 PM,80.8,23,13.7
5/23/2019 7:47:31 PM,44.1,19.8,13.9
5/23/2019 7:47:37 PM,73.2,20.5,13.2
5/23/2019 7:47:43 PM,61.3,20,14
5/23/2019 7:47:49 PM,63.6,17.8,13.6
5/23/2019 7:47:55 PM,52,19.2,13.7
5/23/2019 7:48:01 PM,50.2,19.2,13.8
5/23/2019 7:48:07 PM,34.6,19.7,13.8
5/23/2019 7:48:13 PM,52.2,23.4,14.5
5/23/2019 7:48:19 PM,33.7,22.8,14.1
5/23/2019 7:48:25 PM,59.9,18.9,13.8
5/23/2019 7:48:31 PM,40.7,18.7,13.5
5/23/2019 7:48:37 PM,36.4,18.3,13.4
5/23/2019 7:48:43 PM,34.1,21.3,13.4
5/23/2019 7:48:49 PM,69,19.2,13.5
5/23/2019 7:48:55 PM,35,19.1,13.9
5/23/2019 7:49:01 PM,41.8,20.4,13.3
5/23/2019 7:49:07 PM,72.2,18.4,12.7
5/23/2019 7:49:13 PM,49.7,18.7,13.4
5/23/2019 7:49:19 PM,70.9,17.5,13.4
5/23/2019 7:49:25 PM,60,20.9,13.2
5/23/2019 7:49:31 PM,44.2,22,14.1
5/23/2019 7:49:37 PM,66.5,20,13.9
5/23/2019 7:49:43 PM,63.2,20.3,14
5/23/2019 7:49:49 PM,44.5,18.8,13.3
5/23/2019 7:49:55 PM,36.4,22.2,14.1
5/23/2019 7:50:01 PM,48.6,21.2,13.8
5/23/2019 7:50:07 PM,43.1,19.7,13.5
5/23/2019 7:50:13 PM,43.7,20.8,13.3
5/23/2019 7:50:19 PM,48.2,18.9,13.4
5/23/2019 7:50:25 PM,75.3,20,14
5/23/2019 7:50:31 PM,76.9,19.3,13.6
5/23/2019 7:50:37 PM,46.1,19.3,13.2
5/23/2019 7:50:43 PM,66.3,20.2,13.8
5/23/2019 7:50:49 PM,46.7,20.4,13.3
5/23/2019 7:50:55 PM,37.7,16.8,13.1
5/23/2019 7:51:01 PM,54.7,18.1,12.9
5/23/2019 7:51:07 PM,58.1,19.2,13.7
5/23/2019 7:51:13 PM,59,17,13
5/23/2019 7:51:19 PM,47.3,20.9,13.3
5/23/2019 7:51:25 PM,41.1,18.7,13.4
5/23/2019 7:51:31 PM,37.6,18.1,13.6
5/23/2019 7:51:37 PM,57.3,16,12.9
5/23/2019 7:51:43 PM,70.1,18.9,13.7
5/23/2019 7:51:49 PM,55.2,20.4,13
5/23/2019 7:51:55 PM,51.4,21.3,13.9
5/23/2019 7:52:01 PM,47.9,21,14
5/23/2019 7:52:07 PM,45.7,19.8,13.8
5/23/2019 7:52:13 PM,45.7,17.8,13.3
5/23/2019 7:52:19 PM,31.6,21.3,13.7
5/23/2019 7:52:25 PM,52.5,20.2,13.7
5/23/2019 7:52:31 PM,44.4,18.6,13.2
5/23/2019 7:52:37 PM,39.9,19.5,13.9
5/23/2019 7:52:43 PM,38,19,13.7
5/23/2019 7:52:49 PM,35.8,17.4,13.6
5/23/2019 7:52:55 PM,36.5,21.6,14.1
5/23/2019 7:53:01 PM,46.3,21.9,14.4
5/23/2019 7:53:07 PM,55.4,21.6,14.6
5/23/2019 7:53:13 PM,61.2,15.8,12.9
5/23/2019 7:53:19 PM,56.2,18.3,13.1
5/23/2019 7:53:25 PM,50.7,19.9,14
5/23/2019 7:53:31 PM,31.1,20.7,13.6
5/23/2019 7:53:37 PM,47.2,21.2,14
5/23/2019 7:53:43 PM,54,21.3,14
5/23/2019 7:53:49 PM,29.5,20.3,13.6
5/23/2019 7:53:55 PM,42.2,18.9,13.5
5/23/2019 7:54:01 PM,49.5,20.1,13.8
